                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1468,                 4.5334,                 1.5645,                0.56554,                0.71111,                 0.6547,                0.58171,                0.41007,                  132.3,                0.74087,             0.00010983,             0.00010983,             0.00010983
                      2,                0.87056,                 2.4375,                 1.3049,                0.54002,                0.77559,                0.64848,                0.48902,                0.54582,                  64.91,                0.96033,             0.00021865,             0.00021865,             0.00021865
                      3,                0.85907,                 1.9764,                 1.2762,                0.64993,                0.78387,                0.84404,                0.58897,                0.57696,                 35.567,                 1.0708,             0.00032526,             0.00032526,             0.00032526
                      4,                0.85017,                  1.677,                 1.2629,                0.56845,                0.71245,                0.66005,                0.52315,                 0.5485,                 61.312,                0.89615,             0.00032311,             0.00032311,             0.00032311
                      5,                0.81731,                 1.4469,                  1.231,                0.78648,                0.78721,                0.71359,                0.63092,                0.43516,                 53.826,                0.75773,             0.00031981,             0.00031981,             0.00031981
                      6,                0.79105,                 1.2787,                 1.2032,                 0.6555,                0.72593,                0.66061,                0.47729,                0.51516,                 89.494,                0.81441,             0.00031652,             0.00031652,             0.00031652
                      7,                0.78319,                 1.2648,                  1.202,                0.61076,                0.71335,                0.72521,                 0.5907,                0.50292,                  90.12,                0.81331,             0.00031322,             0.00031322,             0.00031322
                      8,                0.78128,                 1.1627,                 1.1981,                0.64159,                0.85648,                0.73311,                0.60754,                0.44597,                 71.265,                0.75841,             0.00030992,             0.00030992,             0.00030992
                      9,                0.75921,                 1.0747,                 1.1887,                0.75788,                0.89328,                0.79583,                0.60406,                0.52404,                 63.331,                0.82905,             0.00030663,             0.00030663,             0.00030663
                     10,                0.74539,                 1.0507,                 1.1809,                0.75855,                0.78677,                0.85233,                0.73405,                0.43457,                  63.02,                0.79493,             0.00030333,             0.00030333,             0.00030333
                     11,                0.74374,                 1.0221,                 1.1668,                0.79166,                0.75556,                0.92844,                0.64113,                0.52275,                 76.422,                0.83315,             0.00030003,             0.00030003,             0.00030003
                     12,                0.72308,                 0.9486,                 1.1577,                 0.6547,                0.93333,                0.94064,                0.77375,                0.49782,                 78.469,                0.81466,             0.00029674,             0.00029674,             0.00029674
                     13,                0.71414,                0.93912,                 1.1543,                0.62727,                0.98013,                0.94058,                0.81038,                0.44177,                 89.941,                0.76336,             0.00029344,             0.00029344,             0.00029344
                     14,                0.70198,                0.89566,                 1.1454,                0.75947,                0.85926,                0.73711,                0.62694,                 0.4259,                 76.264,                 0.7774,             0.00029014,             0.00029014,             0.00029014
                     15,                 0.6997,                0.85469,                 1.1434,                0.81836,                 0.7276,                0.76141,                0.63782,                0.45272,                  85.12,                0.79752,             0.00028685,             0.00028685,             0.00028685
                     16,                0.69073,                0.82559,                 1.1357,                0.67663,                0.95082,                0.95843,                0.78767,                0.43992,                 86.157,                0.77503,             0.00028355,             0.00028355,             0.00028355
                     17,                0.68788,                0.85446,                 1.1336,                0.80294,                0.83678,                0.95804,                0.81057,                0.49015,                 91.494,                0.80844,             0.00028025,             0.00028025,             0.00028025
                     18,                0.69188,                0.81291,                 1.1314,                0.81929,                0.93964,                0.82917,                 0.6718,                0.48284,                 91.202,                0.78642,             0.00027696,             0.00027696,             0.00027696
                     19,                 0.6589,                0.77507,                  1.121,                0.73863,                0.89194,                0.96495,                0.76959,                0.51467,                 86.745,                0.81002,             0.00027366,             0.00027366,             0.00027366
                     20,                0.66679,                0.77937,                 1.1198,                0.71493,                0.85185,                0.77709,                0.68109,                0.36476,                   82.3,                 0.6686,             0.00027036,             0.00027036,             0.00027036
                     21,                0.67058,                0.75801,                 1.1213,                 0.7775,                0.85926,                0.78294,                0.64792,                0.43487,                  88.51,                0.75117,             0.00026707,             0.00026707,             0.00026707
                     22,                0.64535,                0.72854,                 1.1109,                0.69879,                0.91759,                 0.7873,                0.65587,                0.43845,                 99.737,                0.72927,             0.00026377,             0.00026377,             0.00026377
                     23,                 0.6654,                0.71554,                 1.1122,                0.79321,                0.80327,                0.92418,                0.66115,                0.62572,                 98.459,                0.99098,             0.00026047,             0.00026047,             0.00026047
                     24,                0.65018,                0.72549,                 1.1108,                0.79441,                0.77613,                0.98033,                0.80048,                0.51537,                 90.792,                0.85432,             0.00025718,             0.00025718,             0.00025718
                     25,                0.63554,                0.69578,                 1.0936,                0.78425,                0.88889,                0.80202,                0.66265,                0.48053,                  86.62,                0.82159,             0.00025388,             0.00025388,             0.00025388
                     26,                0.63605,                0.66708,                 1.1005,                 0.6743,                0.88279,                0.92066,                0.79971,                0.47524,                 92.985,                0.83705,             0.00025058,             0.00025058,             0.00025058
                     27,                0.62979,                0.65637,                 1.0954,                 0.8113,                0.88091,                0.96755,                0.71753,                0.54848,                 95.728,                0.88837,             0.00024729,             0.00024729,             0.00024729
